Date,Open,High,Low,close,Vol.
2023-10-01,19622.4,19849.75,18837.85,19079.6,4.25E+12
2023-09-01,19258.15,20222.45,19255.7,19638.3,5.67E+12
2023-08-01,19784,19795.6,19223.65,19253.8,6.25E+12
2023-07-01,19246.5,19991.85,19234.4,19753.8,5.80E+12
2023-06-01,18579.4,19201.7,18464.55,19189.05,5.14E+12
2023-05-01,18124.8,18662.45,18042.4,18534.4,5.74E+12
2023-04-01,17427.95,18089.15,17312.75,18065,4.46E+12
2023-03-01,17360.1,17799.95,16828.35,17359.75,5.62E+12
2023-02-01,17811.6,18134.75,17255.2,17303.95,5.69E+12
2023-01-01,18131.7,18251.95,17405.55,17662.15,5.63E+12
2022-12-01,18871.95,18887.6,17774.25,18105.3,4.74E+12
2022-11-01,18130.7,18816.05,17959.2,18758.35,5.26E+12
2022-10-01,17102.1,18022.8,16855.55,18012.2,4.54E+12
2022-09-01,17485.7,18096.15,16747.7,17094.35,6.90E+12
2022-08-01,17243.2,17992.2,17154.8,17759.3,5.59E+12
2022-07-01,15703.7,17172.8,15511.05,17158.25,5.48E+12
2022-06-01,16594.4,16793.85,15183.4,15780.25,5.51E+12
2022-05-01,16924.45,17132.85,15735.75,16584.55,6.34E+12
2022-04-01,17436.9,18114.65,16824.7,17102.55,5.66E+12
2022-03-01,16593.1,17559.8,15671.45,17464.75,7.96E+12
2022-02-01,17529.45,17794.6,16203.25,16793.9,5.62E+12
2022-01-01,17387.15,18350.95,16836.8,17339.85,5.44E+12
2021-12-01,17104.4,17639.5,16410.2,17354.05,5.50E+12
2021-11-01,17783.15,18210.15,16782.4,16983.2,5.85E+12
2021-10-01,17531.9,18604.45,17452.9,17671.65,7.65E+12
2021-09-01,17185.6,17947.65,17055.05,17618.15,6.96E+12
2021-08-01,15874.9,17153.5,15834.65,17132.2,6.35E+12
2021-07-01,15755.05,15962.25,15513.45,15763.05,6.00E+12
2021-06-01,15629.65,15915.65,15450.9,15721.5,8.08E+12
2021-05-01,14481.05,15606.35,14416.25,15582.8,1.03E+13
2021-04-01,14798.4,15044.35,14151.4,14631.1,9.64E+12
2021-03-01,14702.5,15336.3,14264.4,14690.7,1.14E+13
2021-02-01,13758.6,15431.75,13661.75,14529.15,1.43E+13
2021-01-01,13996.1,14753.55,13596.75,13634.6,1.30E+13
2020-12-01,13062.2,14024.85,12962.8,13981.75,1.21E+13
2020-11-01,11697.35,13145.85,11557.4,12968.95,1.31E+13
2020-10-01,11364.45,12025.45,11347.05,11642.4,1.16E+13
2020-09-01,11464.3,11618.1,10790.2,11247.55,1.34E+13
2020-08-01,11057.55,11794.25,10882.25,11387.5,1.40E+13
2020-07-01,10323.8,11341.4,10299.6,11073.45,1.46E+13
2020-06-01,9726.85,10553.15,9544.35,10302.1,1.68E+13
2020-05-01,9533.5,9598.85,8806.75,9580.3,1.37E+13
2020-04-01,8584.1,9889.05,8055.8,9859.9,1.27E+13
2020-03-01,11387.35,11433,7511.1,8597.75,2.13E+13
2020-02-01,11939,12246.7,11175.05,11201.75,1.12E+13
2020-01-01,12202.15,12430.5,11929.6,11962.1,1.19E+13
2019-12-01,12137.05,12293.9,11832.3,12168.45,1.25E+13
2019-11-01,11886.6,12158.8,11802.65,12056.05,1.32E+13
2019-10-01,11515.4,11945,11090.15,11877.45,1.56E+13
2019-09-01,10960.95,11694.85,10670.25,11474.45,1.22E+13
2019-08-01,11060.2,11181.45,10637.15,11023.25,1.12E+13
2019-07-01,11839.9,11981.75,10999.4,11118,9.99E+12
2019-06-01,11953.75,12103.05,11625.1,11788.85,6.79E+12
2019-05-01,11725.55,12041.15,11108.3,11922.8,8.65E+12
2019-04-01,11665.2,11856.15,11549.1,11748.15,6.52E+12
2019-03-01,10842.65,11630.35,10817,11623.9,6.86E+12
2019-02-01,10851.35,11118.1,10585.65,10792.5,7.46E+12
2019-01-01,10881.7,10987.45,10583.65,10830.95,7.43E+12
2018-12-01,10930.7,10985.15,10333.85,10862.55,6.74E+12
2018-11-01,10441.7,10922.45,10341.9,10876.75,6.79E+12
2018-10-01,10930.9,11035.65,10004.55,10386.6,8.14E+12
2018-09-01,11751.8,11751.8,10850.3,10930.45,6.03E+12
2018-08-01,11359.8,11760.2,11234.95,11680.5,5.41E+12
2018-07-01,10732.35,11366,10604.65,11356.5,5.29E+12
2018-06-01,10738.45,10893.25,10550.9,10714.3,4.83E+12
2018-05-01,10783.85,10929.2,10417.8,10736.15,5.50E+12
2018-04-01,10151.65,10759,10111.3,10739.35,4.95E+12
2018-03-01,10479.95,10525.5,9951.9,10113.7,4.52E+12
2018-02-01,11044.55,11117.35,10276.3,10492.85,4.53E+12
2018-01-01,10531.7,11171.55,10404.65,11027.7,4.84E+12
2017-12-01,10263.7,10552.4,10033.35,10530.7,3.61E+12
2017-11-01,10390.35,10490.45,10094,10226.55,4.79E+12
2017-10-01,9893.3,10384.5,9831.05,10335.3,4.64E+12
2017-09-01,9937.65,10178.95,9687.55,9788.6,4.29E+12
2017-08-01,10101.05,10137.85,9685.55,9917.9,4.30E+12
2017-07-01,9587.95,10114.85,9543.55,10077.1,3.85E+12
2017-06-01,9603.55,9709.3,9448.75,9520.9,3.67E+12
2017-05-01,9339.85,9649.6,9269.9,9621.25,4.68E+12
2017-04-01,9220.6,9367.15,9075.15,9304.05,3.15E+12
2017-03-01,8904.4,9218.4,8860.1,9173.75,4.98E+12
2017-02-01,8570.35,8982.15,8537.5,8879.6,4.53E+12
2017-01-01,8210.1,8672.7,8133.8,8561.3,4.13E+12
2016-12-01,8244,8274.95,7893.8,8185.8,3.22E+12
2016-11-01,8653.15,8669.6,7916.4,8224.5,4.73E+12
2016-10-01,8666.15,8806.95,8506.15,8625.7,3.42E+12
2016-09-01,8793.6,8968.7,8555.2,8611.15,4.02E+12
2016-08-01,8654.3,8819.2,8518.15,8786.2,4.22E+12
2016-07-01,8313.05,8674.7,8287.55,8638.5,3.42E+12
2016-06-01,8179.2,8308.15,7927.05,8287.75,4.32E+12
2016-05-01,7822.7,8213.6,7678.35,8160.1,4.50E+12
2016-04-01,7718.05,7992,7516.85,7849.8,3.65E+12
2016-03-01,7038.25,7777.6,7035.1,7738.4,4.96E+12
2016-02-01,7589.5,7600.45,6825.8,6987.05,5.33E+12
2016-01-01,7938.45,7972.55,7241.5,7563.55,3.96E+12
2015-12-01,7958.15,7979.3,7551.05,7946.35,3.12E+12
2015-11-01,8054.55,8116.1,7714.15,7935.25,3.16E+12
2015-10-01,7992.05,8336.3,7930.65,8065.8,3.47E+12
2015-09-01,7907.95,8055,7539.5,7948.9,3.54E+12
2015-08-01,8510.65,8621.55,7667.25,7971.3,4.06E+12
2015-07-01,8376.25,8654.75,8315.4,8532.85,3.19E+12
2015-06-01,8417.25,8467.15,7940.3,8368.5,3.25E+12
2015-05-01,8230.05,8489.55,7997.15,8433.65,3.49E+12
2015-04-01,8483.7,8844.8,8144.75,8181.5,3.37E+12
2015-03-01,8953.85,9119.2,8269.15,8491,3.84E+12
2015-02-01,8802.5,8941.1,8470.5,8901.85,3.78E+12
2015-01-01,8272.8,8996.6,8065.45,8808.9,3.49E+12
2014-12-01,8605.1,8626.95,7961.35,8282.7,3.15E+12
2014-11-01,8348.15,8617,8290.25,8588.25,2.70E+12
2014-10-01,7960.5,8330.75,7723.85,8322.2,2.70E+12
2014-09-01,7990.35,8180.2,7841.8,7964.8,2.93E+12
2014-08-01,7662.5,7968.25,7540.1,7954.35,2.48E+12
2014-07-01,7629,7840.95,7422.15,7721.3,3.32E+12
2014-06-01,7264.05,7700.05,7239.5,7611.35,3.62E+12
2014-05-01,6709.95,7563.5,6638.55,7229.95,4.28E+12
2014-04-01,6729.5,6869.85,6650.4,6696.4,2.67E+12
2014-03-01,6264.35,6730.05,6212.25,6704.2,3.86E+12
2014-02-01,6058.8,6282.7,5933.3,6276.95,2.80E+12
2014-01-01,6323.8,6358.3,6027.25,6089.5,3.35E+12
2013-12-01,6171.15,6415.25,6129.95,6304,3.62E+12
2013-11-01,6289.75,6342.95,5972.45,6176.1,3.02E+12
2013-10-01,5756.1,6309.05,5700.95,6299.15,3.84E+12
2013-09-01,5480.25,6142.5,5318.9,5735.3,4.49E+12
2013-08-01,5776.9,5808.5,5118.85,5471.8,5.01E+12
2013-07-01,5834.1,6093.35,5675.75,5742,3.52E+12
2013-06-01,5997.35,6011,5566.25,5842.2,2.98E+12
2013-05-01,5911.4,6229.45,5910.95,5985.95,3.08E+12
2013-04-01,5697.35,5962.3,5477.2,5930.2,2.73E+12
